email_id	sender	subject	date	body	label
E004	careers@accenture.com	Cloud Engineering Intern opening in Seattle, WA	2/20/26	Applications are now open for the Cloud Engineering Intern role at Accenture in Seattle, WA. Apply: https://accenture.com/us-en/careers/accenture-cloud-engineering-intern-seattle-wa-4 Deadline: April 01, 2026. Skills: Amazon Web Services, Python, Linux, networking.	relevant
E046	alerts@indeed.com	New Software Engineer New Graduate opportunity at Palantir	2/22/26	New opportunity: Software Engineer New Graduate at Palantir located in Seattle, WA. Submit your application at https://palantir.com/careers/palantir-software-engineer-new-graduate-seattle-wa-46. Deadline: February 14, 2026. Preferred background: Python, Java, algorithms, systems design.	relevant
E048	careers@linkedin.com	Machine Learning Engineer Intern opening in Los Angeles, CA	2/22/26	New opportunity: Machine Learning Engineer Intern at LinkedIn located in Los Angeles, CA. Submit your application at https://careers.linkedin.com/linkedin-machine-learning-engineer-intern-los-angeles-ca-48. Deadline: March 09, 2026. Preferred background: Python, PyTorch, deep learning, application programming interfaces.	relevant
E049	careers@google.com	Google is hiring: Data Analyst	2/22/26	Google is hiring a Data Analyst in Austin, TX. Apply here: https://careers.google.com/google-data-analyst-austin-tx-49 Deadline: March 08, 2026. Required skills include SQL, Excel, Tableau, dashboards.	relevant
E056	alerts@glassdoor.com	New Cloud Engineering Intern opportunity at Netflix	2/22/26	Netflix Careers has opened applications for a Cloud Engineering Intern position in Seattle, WA. Apply here: https://jobs.netflix.com/netflix-cloud-engineering-intern-seattle-wa-56. Deadline: February 20, 2026. Key skills: Amazon Web Services, Python, Linux, networking.	relevant
E132	newsletter@university.edu	Housing maintenance notice	2/22/26	Get forty percent off on selected items this weekend only.	irrelevant
E026	careers@microsoft.com	Deep Learning Intern at Microsoft	2/23/26	Applications are now open for the Deep Learning Intern role at Microsoft in San Jose, CA. Apply: https://careers.microsoft.com/microsoft-deep-learning-intern-san-jose-ca-26 Deadline: March 01, 2026. Skills: Python, PyTorch, neural networks, deep learning.	relevant
E010	careers@linkedin.com	LinkedIn is hiring: Computer Vision Intern	2/24/26	New opportunity: Computer Vision Intern at LinkedIn located in San Jose, CA. Submit your application at https://careers.linkedin.com/linkedin-computer-vision-intern-san-jose-ca-10. Deadline: March 26, 2026. Preferred background: Python, OpenCV, deep learning, computer vision.	relevant
E037	careers@netflix.com	Data Science Intern opening in Chicago, IL	2/24/26	Netflix is hiring a Data Science Intern in Chicago, IL. Apply here: https://jobs.netflix.com/netflix-data-science-intern-chicago-il-37 Deadline: March 31, 2026. Required skills include Python, SQL, pandas, experimentation.	relevant
E041	careers@stripe.com	New Cloud Engineering Intern opportunity at Stripe	2/24/26	New opportunity: Cloud Engineering Intern at Stripe located in Boston, MA. Submit your application at https://stripe.com/jobs/stripe-cloud-engineering-intern-boston-ma-41. Deadline: March 22, 2026. Preferred background: Amazon Web Services, Python, Linux, networking.	relevant
